MMKB04:000188101:mpeg21:a0019	1914	De Maasbode	LAATSTE BERICHTEN.	artikel	0.8791208791208791	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMKB04:000193216:mpeg21:a0115	1938	De Maasbode	DE EERSTE TEEKENEN van het naderend voorjaar	artikel	0.9351446099912357	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMKB08:000072378:mpeg21:a0043	1921	Delftsche courant	Wetenschap en Industrie. Ons Lichaam en onze Gezondheid.	artikel	0.9103194103194103	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMKB08:000074830:mpeg21:a0010	1930	Delftsche courant	Faillissementen Opgegeven door v. d. Graaf &amp; Co. N. V. (Afd. Handelsinformaties.)	artikel	0.8957055214723927	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
MMKB08:000094694:mpeg21:a0001	1883	Arnhemsche courant	Binnenland.	artikel	0.9447168970129292	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000114980:mpeg21:a0026	1876	Delftsche courant	Advertentie	advertentie	0.7635135135135135	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000114992:mpeg21:a0031	1876	Delftsche courant	Advertentie	advertentie	0.8119469026548672	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000117846:mpeg21:a0014	1911	Delftsche courant	Advertentie	advertentie	0.7592592592592593	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000117949:mpeg21:a0079	1911	Delftsche courant	Advertentie	advertentie	0.8382838283828383	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000117984:mpeg21:a0074	1911	Delftsche courant	Advertentie	advertentie	0.7816091954022989	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000121625:mpeg21:a0025	1915	Delftsche courant	Advertentie	advertentie	0.8136200716845878	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000121630:mpeg21:a0028	1915	Delftsche courant	Advertentie	advertentie	0.8533834586466166	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000161746:mpeg21:a0009	1930	Nederlandsche staatscourant	GERECHTELIJKE AANKONDIGINGEN. NAAMSVERANDERINGEN.	artikel	0.8552083333333333	nl	11_Nobeast	\N	Landelijk	\N	\N
MMKB08:000174096:mpeg21:a0006	1900	Nederlandsche staatscourant	VEREENIGINGEN. ERKEND VOLGENS DE WET VAN 23 APRIL 1855 (STAATSBLAD No. 32). No. 447.	artikel	0.9339869281045752	nl	06_Hunt_economical	\N	Landelijk	\N	\N
MMKB08:000182594:mpeg21:a0014	1931	Nederlandsche staatscourant	GERECHTELIJKE AANKONDIGINGEN. Verkoop bij executie.	artikel	0.881491344873502	nl	11_Nobeast	\N	Landelijk	\N	\N
MMRANM02:000009529:mpeg21:a0031	1908	Provinciale Geldersche en Nijmeegsche courant	Rubriek voor Vrouwen. Nieuwe najaarsmode te Berlijn.	artikel	0.9128491620111732	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMRANM02:000019799:mpeg21:a0029	1918	Provinciale Geldersche en Nijmeegsche courant	Advertentie	advertentie	0.8397626112759644	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMRHCE01:000037653:mpeg21:a0034	1910	De Zuid-Willemsvaart	Advertentie	advertentie	0.6701030927835051	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMRHCE01:000037657:mpeg21:a0047	1910	De Zuid-Willemsvaart	Advertentie	advertentie	0.686046511627907	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMRHCE01:000038050:mpeg21:a0022	1915	De Zuid-Willemsvaart	Advertentie	advertentie	0.8113879003558719	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMRHCE01:000054230:mpeg21:a0022	1915	Eindhovensch dagblad	Advertentie	advertentie	0.7714285714285715	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMSAEN01:000045000:mpeg21:a0019	1915	Twentsch dagblad Tubantia	Sint Nicolaas-Cadeaux	advertentie	0.781021897810219	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMRANM02:000019035:mpeg21:a0009	1913	Provinciale Geldersche en Nijmeegsche courant	Bioskoop-vertooningen enz. De Familie-Bioskoop.	artikel	0.9030303030303031	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMRANM02:000022640:mpeg21:a0054	1924	Provinciale Geldersche en Nijmeegsche courant	Ornithologische Waarnemingen.	artikel	0.9536354056902002	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
